ALTARA_ATTRACTIVE,Attractive, The forced-evolution process administered to the Warrior Women includes genetically engineering them for beauty. Altara have the Attractive Edge. ,
ALTARA_BAD_REPUTATION,Bad Reputation, The Altara Warrior Women are infamous as servants of Splugorth Slavers worldwide. The average person hates and fears Altara; they suffer a -4 Charisma penalty with most folks who discover who and what they are. ,
ALTARA_BLIND,Blind," Although created blind, this is only a minor drawback for the Altara, as they have a natural radar ability extending 1,200 feet (200”) which compensates for the penalties. They cannot read, see colors, or otherwise detect purely visual information. ",
ALTARA_GENETIC_ENGINEERING,Genetic Engineering," Crafted through bio-wizardry to be perfect warriors, Altara begin with a starting Agility, Strength, and Vigor of d6. This increases their natural maximums in these attributes to d12+1. ",
ALTARA_INSTILLED_IGNORANCE,Instilled Ignorance," Altara are taught only what they need to serve their masters, and extreme brainwashing is used to dampen their intellectual acumen. This leaves them woefully under-educated and naive about the world at large. They suffer a -2 to all Smarts rolls. ",
ALTARA_STORM_FOULED_SENSES,Storm-Fouled Senses," In strong inclement weather, or conditions where the environment is greatly disturbed (sand storms, fires with lots of smoke), the Altara suffer a -2 penalty to Notice, Fighting, Shooting, and Throwing. ",
ALTARA_SUPERIOR_SENSES,Superior Senses," Altara Warrior Women begin with the Alertness Edge, as all of their other senses are exceptional. ",
ALTARA_WANTED_MINOR,Wanted (Minor)," Any Minion of Splugorth, including most other Altara Warrior Women, attack to capture or kill a rogue Altara in an instant. ",
DNORR_DISTINCTIVE_D_BEE,Distinctive D-Bee," Unless they hide their non-human (and devilish) appearance, D'Norr face a certain amount of prejudice from the Coalition. They suffer a -4 Charisma when dealing with such people. ",
DNORR_INTELLIGENT_AND_SPIRITUAL,Intelligent and Spiritual," D'Norr are highly intelligent and spiritual, beginning with a d6 Smarts and Spirit. This makes their natural maximums for those Traits d12+1. ",
DNORR_NATURAL_ARCANE_AFFINITY,Natural Arcane Affinity," The D'Norr have +5 PPE naturally, whether they pursue a magical path or not. ",
DNORR_PERSONABLE,Personable, The D'Norr are highly charming and easy to get along with. They have +1 Charisma. ,
DNORR_RESTRICTED_PATH,Restricted Path, The D'Norr have no capacity for psionics and cannot access ISP. ,
DNORR_SENSITIVE,Sensitive," Due to their inherently sensitive and compassionate nature, D'Norr are particularly susceptible to Fear, suffering a -2 whenever making checks against such situations. ",
DOGBOY_BREED_ADVANTAGE,Breed Advantage," A Dog Boy begins with the Breed Advantage Edge (see sidebar). The player decides what breed (or breeds) the character is influenced by. After creation, the Dog Boy may take the Edge again at Novice Rank. ",
DOGBOY_KEEN_SENSE_OF_SMELL,Keen Sense of Smell," Dog Boys have a sense of smell similar to their canine counterparts. They gain a +2 bonus on Notice checks based on smell, as well as +2 on all Tracking rolls. ",
DOGBOY_NATURAL_WEAPONS,Natural Weapons, Dog Boys bite for Str+d6 damage. ,
DOGBOY_OUTSIDER,Outsider," Dog Boys are awkward around human populations, and people outside the CS may be frightened of them because they are so closely identified with that regime. They have the Outsider Hindrance and a -2 Charisma with everyone except other Dog Boys. ",
DOGBOY_PSYCHIC_SENSE,Psychic Sense," Dog Boys have the inherent ability to detect arcana, interpreting it as a scent. They use the Notice skill (with their Keen Sense of Smell bonus) to detect the presence and location of psychic or magic energies, beings, or items. They can also use the Tracking skill (also with the Keen Sense of Smell bonus) to follow a specific magical or psionic entity. This sense works to detect anything psychic, magic, or supernatural, including invisible and astral beings. Psychic Sense doesn’t work inside sealed armor or vehicles. Cybernetic implants also cause problems; every point of Strain imposes a -1 penalty when the Dog Boy uses his Psychic Sense (the Cyber-Psychic Alignment Edge can negate this penalty). See sidebar on page 60. ",
DOGBOY_RESTRICTED_PATHS,Restricted Paths," Inherent psionic limitations make arcane magic impossible. Dog Boys cannot take any Arcane Background using PPE, nor any Iconic Framework that includes it. ",
DOGBOY_WANTED_HINDRANCE_MINOR,Wanted Hindrance (Minor)," Dog Boys operating outside of CS control are wanted by the Coalition, and there’s always a fair bounty for bringing one in. ",
DOGBOY_WEAKNESS_LEY_LINE_HYPERSENSITIVITY,Weakness (Ley Line Hypersensitivity)," Dog Boys lose their Psychic Sense on or close (within 2” or 4 yards) to a ley line. Ley Line storms cause a level of Fatigue from severe headaches and distress as for a psychic (which does not stack if they have the Arcane Background), but their Fatigue requires an hour to recover after the storm ends. ",
FENNODI_DISTINCTIVE_D_BEE,Distinctive D-Bee," With their nonhuman appearance and inherent psionic ability, Fennodi face prejudice from the Coalition. They suffer -4 Charisma when dealing with CS citizens. ",
FENNODI_INFRAVISION,Infravision, Fennodi see in the infrared spectrum. They halve lighting penalties when fighting anything radiating heat. ,
FENNODI_ISSUES_WITH_COLD,Issues With Cold," The Fennodi prefer the prairies and deserts of the New West for a reason. They suffer -4 to resist cold environment effects, and cold-based attacks do +4 damage to them. ",
FENNODI_NATURAL_PSIONICS,Natural Psionics," Fennodi begin with the Arcane Background (Psionics) Edge, and start with the following three powers",
FENNODI_VISUAL_ACUITY,Visual Acuity, The Fennodi’s wider range of vision provides +2 to sight-based Notice checks. ,
QUICKFLEX_AGILE,Agile, Quick-Flex start with a d8 Agility (and a Trait maximum of d12+2).,
QUICKFLEX_AMBIDEXTERITY,Ambidexterity, All Quick-Flex possess the Ambidextrous Edge.,
QUICKFLEX_DISTINCTIVE_D_BEE,Distinctive D-Bee," Unless they hide their non-human appearance, a Quick-Flex faces prejudice from the Coalition. They suffer -4 Charisma with such folks.",
QUICKFLEX_ELUSIVE,Elusive," Quick-Flex are difficult to pin down in close quarters, giving them a natural +1 to their Parry rating. ",
QUICKFLEX_FAST,Fast, Quick-Flex have +2 to Pace and increase their Running die by one die type (usually a Pace of 8 and d8 Running die).,
QUICKFLEX_RESTRICTED_PATH,Restricted Path, Their natural hyperactivity and lack of focus makes the pursuit of any magical Arcane Backgrounds impossible for them. Quick-Flex cannot access PPE. The race cannot take any Arcane Background which uses PPE or any Iconic Framework which includes such an Arcane Background. ,
QUICKFLEX_SHORT_ATTENTION_SPAN,Short Attention Span, Quick-Flex have a difficult time sitting still and focusing on intellectual pursuits. They suffer a -1 to all Smarts rolls.,
QUICKFLEX_SUPREME_CONFIDENCE,Supreme Confidence, All Quick-Flex are inherently Overconfident in addition to any Hindrances chosen by the player.,
PSISTALKER_AMBIDEXTERITY,Ambidexterity, Psi-Stalkers have the Ambidextrous Edge. ,
PSISTALKER_ANIMAL_EMPATHY,Animal Empathy, Psi-Stalkers have an inherent empathy with animals. They start with Riding d6 and animals treat them as one of their own. This effect can be problematic if the animal in question is a territorial loner. ,
PSISTALKER_FAST,Fast, Psi-Stalkers have Pace +2 and increase their Running die by one die type (usually Pace 8 and d8 run die). ,
PSISTALKER_OUTSIDER,Outsider," Psi-Stalkers are creepy and off-putting, and make those with magic or psionic abilities especially nervous (for obvious reasons). They are barely more than a slave class in the Coalition and despised in the Federation of Magic. They suffer -2 Charisma with everyone except others of their kind. ",
PSISTALKER_PSYCHIC_SENSE,Psychic Sense," Psi-Stalkers have the inherent ability to detect arcana, usable at will. They use the Notice skill to detect the presence and location of any psychic or magic energies, beings, or items. They can also use the Tracking skill to track a specific magical or psionic entity. This sense works to detect anything psychic, magic, or supernatural, including invisible and astral beings. Psychic Sense doesn’t work inside sealed armor or vehicles. Cybernetic implants also cause problems; every point of Strain imposes a -1 penalty when the Psi-Stalker uses his Psychic Sense (the Cyber-Psychic Alignment Edge can negate this penalty). See sidebar on the next page. "," armor, intangibility, and telepathy. If a Fennodi chooses an Iconic Framework providing Arcane Background (Psionics), he follows all the normal rules for the Framework except three of his starting powers are the ones listed above (even if not normally allowed to that Framework). The Fennodi gains one additional power to his starting total (e.g., a Fennodi Burster starts with four powers, a Mind Melter with six). "
PSISTALKER_PSYCHIC_VAMPIRE,Psychic Vampire," Psi-Stalkers require a diet of PPE or ISP drained from living beings. They gain this using the Draining PPE/ ISP rules (page 121), which only works by touch. The Psi-Stalker must cut and draw blood from her intended victim or donor (which must be supernaturally, magically, or psionically active to provide sustenance). Psi-Stalkers must consume at least 5 Power Points (PPE or ISP) a day or suffer Fatigue. They starve to death after a week of being Incapacitated by lack of “food.” Each 5 PPE/ISP drained restores one level of Fatigue. Consumed Power Points cannot be used to fuel spells or psionic powers. ",
PSISTALKER_RACIAL_ENEMY,Racial Enemy, Many Psi-Stalker and Simvan tribes have been at war for years. Meetings between the species start argumentative and get worse. Psi-Stalkers suffer -4 Charisma with Simvan. ,
PSISTALKER_RESTRICTED_PATHS,Restricted Paths," Working arcane magic is impossible for Psi-Stalkers. They cannot take any Arcane Background using PPE, nor any Iconic Framework that includes it. ",
GRACKLETOOTH_CYBER_RESISTANT,Cyber Resistant," Grackles cannot take any Iconic Framework that includes cybernetics as an inherent ability (including the bio-comp system needed to be a Juicer), nor may they roll on the Cybernetics benefits table. ",
GRACKLETOOTH_DISTINCTIVE_D_BEE,Distinctive D-Bee," With their monstrous appearance and powerful frames, Grackles face prejudice. They suffer -4 Charisma with CS citizens. ",
GRACKLETOOTH_ISSUES_WITH_COLD,Issues With Cold, Grackles don’t enjoy the cold. They suffer -4 to resist cold environment effects and take +4 damage from cold-based attacks. ,
GRACKLETOOTH_JUST_HOW_I_WAS_RAISED,“Just How I Was Raised”, Grackles have the Heroic or Overconfident Hindrance for no additional points (the other may be chosen as normal). ,
GRACKLETOOTH_NATURAL_WEAPONS,Natural Weapons," Grackles do Str+d6 damage with their bite, claws, or tail slap. ",
GRACKLETOOTH_POWERFUL,Powerful, Grackles start with Strength d8 (Trait maximum d12+2) and Vigor d6 (Trait maximum d12+1). ,
GRACKLETOOTH_PREHENSILE_TAIL,Prehensile Tail," A Grackle’s tail can hold most melee weapons and pistols, granting an extra non-movement action per round at no multi-action penalty. ",
GRACKLETOOTH_RESTRICTED_PATHS,Restricted Paths," A Grackle Tooth has no capacity for magic or psionics. They cannot take any Arcane Background using PPE or ISP, nor any Iconic Framework that includes it. ",
GRACKLETOOTH_STUFF_AINT_BUILT_FOR_ME,“Stuff Ain’t Built for Me”," A Grackle Tooth’s unique physiology and proportions make it difficult for him to find armor he can use. Purchases and repairs are at least tripled in cost, and there’s no way he can manage a Glitter Boy suit or any other power armor built for a normal-sized humanoid frame. He also suffers a -2 to any checks made to operate a vehicle or its weapons not refitted for his race. Any gear gained from an Iconic Framework is assumed to be custom-built for the character. ",
GRACKLETOOTH_SIZE_2,Size +2, Grackles run eight to 10 feet tall and weigh from 600 – 800 lbs. Their size grants them +2 Toughness. ,
LYNSRIAL_CYBER_RESISTANT,Cyber Resistant, Lyn-Srial can’t take cybernetics of any kind. ,
LYNSRIAL_DISTINCTIVE_D_BEE,Distinctive D-Bee, Lyn-Srial suffer -4 Charisma with CS citizens. ,
LYNSRIAL_FLIGHT,Flight, Lyn-Srial fly at Pace +6 (12). ,
